season,session,round,name,final_time,speed_mean,speed_max,speed_min,speed_std,rpm_mean,rpm_max,rpm_std,throttle_mean,throttle_std,throttle_full_ratio,brake_ratio,gear_mean,gear_std,distance_total,speed_range
2019,Q,1,MAG,82.099,232.30740557818137,316,86,58.61274112578943,10854.811976115734,12253,695.0688649636063,78.1946203869918,36.988748394140195,0.6960132890365448,0.1362126245847176,5.95016611295681,1.7066499003926738,5293.61804249537,230
2019,Q,1,NOR,82.304,230.48691736345302,321,82,61.04914488224374,10552.476907453967,11779,886.9396818005963,77.52847697508653,37.41389566598723,0.6885245901639344,0.13278688524590163,6.077049180327869,1.7025908435382084,5275.682359772458,239
2019,Q,1,PER,82.532,230.4413245685227,324,85,61.61831562478702,10907.599776269015,13068,1074.002215902926,77.47969998306289,36.332620958124075,0.6682769726247987,0.14653784219001612,5.713365539452496,1.7052949163265765,5277.38235131696,239
2019,Q,1,RAI,82.314,231.0923304991041,323,84,61.68289608106905,10781.831061765557,12826,1033.2790308253773,78.20287884043154,37.769248097557885,0.6872964169381107,0.13517915309446255,5.913680781758957,1.6975296711378907,5286.893403814616,239
2019,Q,1,RIC,82.57,230.80081646834745,318,90,58.40103078077457,10444.591788033482,11794,887.1682340010301,78.0133657589084,37.425772501797304,0.6870967741935484,0.13225806451612904,5.829032258064516,1.61269069421565,5288.3677268185575,228
2019,Q,1,RUS,84.36,225.6779428417888,319,83,59.9224025515111,10649.34954058371,12419,1222.6328714100575,77.74555069136547,37.05163421284883,0.6645669291338583,0.12913385826771653,5.667716535433071,1.5416858469712256,5280.3605605361445,236
2019,Q,1,SAI,83.084,228.88298131343473,323,87,62.101290572013355,10578.133354381558,12019,1052.0478548558604,76.20076991916117,38.36308058918322,0.6688,0.16,6.0336,1.6881441790412244,5275.958405409891,236
2019,Q,1,STR,83.017,229.03157873199876,322,79,61.81757090240587,10734.12785419604,12909,1294.6776582251377,77.5702321423518,35.94504208963068,0.6602564102564102,0.16506410256410256,5.790064102564102,1.5831670705937373,5279.841791257374,243
2019,Q,1,VER,81.32,234.4166254605254,320,89,57.738327173925484,10679.591893050254,11827,872.9849342145039,78.90242900548388,36.9243927966101,0.6982055464926591,0.12398042414355628,5.97879282218597,1.591811309867757,5286.802925111568,231
2019,Q,1,VET,81.19,235.03983303009844,318,88,58.660520011548385,10721.624101792184,12101,951.9417756617418,81.54613778126001,34.24627216092099,0.7084019769357496,0.11696869851729819,6.0642504118616145,1.512595213672431,5287.867568428105,230
2019,Q,2,ALB,89.513,216.5560752427239,326,68,69.54792528342435,10551.017704171085,12615,1098.344749571073,72.4135630268232,41.106479456424175,0.6184798807749627,0.17436661698956782,5.50521609538003,2.008835611227206,5385.393612420978,258
2019,Q,2,BOT,88.256,219.8674086438719,324,75,68.53060687210477,10269.454219040947,12266,1585.9535947475842,73.79248072983887,39.87234114020289,0.6314199395770392,0.15709969788519637,5.830815709969788,1.7145154789500086,5384.9227834933445,249
2019,Q,2,GAS,89.526,216.73300392086705,322,69,68.87910650075459,10511.958900489315,12265,1084.8334556051748,71.4633688269309,41.807265096873614,0.6196136701337296,0.16939078751857356,5.576523031203566,1.9731490210738285,5387.003690077558,253
2019,Q,2,GIO,90.026,216.2912099851131,327,66,71.71909542178739,10295.46164677137,12132,1452.2625491952394,73.16666998167392,40.252928206821494,0.6198224852071006,0.17899408284023668,5.6109467455621305,1.903867017641586,5406.529057064902,261
2019,Q,2,GRO,89.015,218.7908366054548,322,67,69.79062809393022,10487.167995734424,12657,1296.9761636657195,72.20856926722996,41.16815089032259,0.6457399103139013,0.16442451420029897,5.663677130044843,1.9474101311619567,5401.069535420327,255
2019,Q,2,HAM,88.19,220.06556971349156,324,77,67.63745332962797,10517.828931617674,12560,1428.4037146824403,75.5167561851698,38.493986919949215,0.6339969372128637,0.1669218989280245,5.684532924961715,1.8481518635240484,5384.754720437751,247
